"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"2511","20180623-M-Halle-SF-Roger_Federer-Denis_Kudla",1,75,55,12,31,41,7,27,17,12,55,43
"2512","20180623-M-Halle-SF-Roger_Federer-Denis_Kudla",2,74,50,7,25,21,21,32,2,1,69,49
"2513","20180621-M-Halle-R16-Roger_Federer-Benoit_Paire",1,90,62,7,35,40,10,40,10,5,80,57
"2514","20180621-M-Halle-R16-Roger_Federer-Benoit_Paire",2,114,71,9,52,57,20,37,12,10,99,61
"2515","19931107-M-Paris_Masters-SF-Stefan_Edberg-Goran_Ivanisevic",1,112,76,4,54,44,30,38,97,71,8,5
"2516","19931107-M-Paris_Masters-SF-Stefan_Edberg-Goran_Ivanisevic",2,101,78,23,59,35,22,43,69,51,27,27
"2517","19930502-M-Madrid-F-Stefan_Edberg-Sergi_Bruguera",1,81,54,0,29,29,28,24,57,44,19,10
"2518","19930502-M-Madrid-F-Stefan_Edberg-Sergi_Bruguera",2,92,45,2,14,43,21,28,1,1,88,44
"2519","20040808-M-Cincinnati_Masters-F-Andre_Agassi-Lleyton_Hewitt",1,77,53,7,29,36,1,40,2,2,74,51
"2520","20040808-M-Cincinnati_Masters-F-Andre_Agassi-Lleyton_Hewitt",2,79,51,13,28,28,23,28,0,0,0,0
"2521","19940306-M-Indian_Wells_Masters-F-Pete_Sampras-Petr_Korda",1,147,98,23,61,60,23,64,76,50,61,48
"2522","19940306-M-Indian_Wells_Masters-F-Pete_Sampras-Petr_Korda",2,149,90,9,40,65,27,57,6,3,137,87
"2523","20090823-M-Cincinnati_Masters-SF-Roger_Federer-Andy_Murray",1,62,47,4,29,14,23,25,0,0,0,0
"2524","20090823-M-Cincinnati_Masters-SF-Roger_Federer-Andy_Murray",2,70,46,8,25,15,30,25,0,0,0,0
"2525","19901006-M-Sydney_Indoor-SF-Stefan_Edberg-Ivan_Lendl",1,104,65,2,47,36,41,27,82,54,17,11
"2526","19901006-M-Sydney_Indoor-SF-Stefan_Edberg-Ivan_Lendl",2,80,56,9,31,34,11,35,0,0,0,0
"2527","19920724-M-Canada_Masters-SF-Ivan_Lendl-Wally_Masur",1,45,34,5,17,22,9,14,0,0,0,0
"2528","19920724-M-Canada_Masters-SF-Ivan_Lendl-Wally_Masur",2,55,28,4,13,28,9,18,26,15,25,13
"2529","19921031-M-Stockholm_Masters-SF-Guy_Forget-Pete_Sampras",1,88,67,15,46,27,21,40,40,33,47,34
