"","match_id","date","player1","player2","tournament","court","surface"
"1663","20151109-M-Kobe_CH-R16-Yoshihito_Nishioka-Yuichi_Ito",2015-11-09,"Yoshihito Nishioka","Yuichi Ito","Kobe CH","","Hard"
"1664","20151109-M-Knoxville_CH-R32-Mischa_Zverev-Hunter_Reese",2015-11-09,"Mischa Zverev","Hunter Reese","Knoxville CH","","Hard"
"1665","20151108-M-Paris-F-Andy_Murray-Novak_Djokovic",2015-11-08,"Andy Murray","Novak Djokovic","Paris","Centre","Hard"
"1666","20151107-M-Paris-SF-Novak_Djokovic-Stan_Wawrinka",2015-11-07,"Novak Djokovic","Stan Wawrinka","Paris","","Hard"
"1667","20151107-M-Paris-SF-David_Ferrer-Andy_Murray",2015-11-07,"David Ferrer","Andy Murray","Paris","","Hard"
"1668","20151106-M-Paris-QF-Tomas_Berdych-Novak_Djokovic",2015-11-06,"Tomas Berdych","Novak Djokovic","Paris","","Hard"
"1669","20151105-M-Paris_Masters-R16-John_Isner-Roger_Federer",2015-11-05,"John Isner","Roger Federer","Paris Masters","Centre","Hard"
"1670","20151105-M-Paris-R32-Novak_Djokovic-Thomaz_Bellucci",2015-11-05,"Novak Djokovic","Thomaz Bellucci","Paris","","Hard"
"1671","20151105-M-Paris-R16-Tomas_Berdych-Jo_Wilfried_Tsonga",2015-11-05,"Tomas Berdych","Jo Wilfried Tsonga","Paris","Centre","Hard"
"1672","20151105-M-Paris-R16-Rafael_Nadal-Kevin_Anderson",2015-11-05,"Rafael Nadal","Kevin Anderson","Paris","Centre","Hard"
"1673","20151105-M-Paris-R16-Novak_Djokovic-Gilles_Simon",2015-11-05,"Novak Djokovic","Gilles Simon","Paris","Centre","Hard"
"1674","20151105-M-Paris-R16-John_Isner-Roger_Federer",2015-11-05,"John Isner","Roger Federer","Paris","Centre","Hard"
"1675","20151105-M-Paris-R16-Andy_Murray-David_Goffin",2015-11-05,"Andy Murray","David Goffin","Paris","Centre","Hard"
